Agency Name,Complaint Type,Descriptor,Incident Zip,City,Community Board,Borough
Department of Housing Preservation and Development,HEATING,HEAT,10461,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,NONCONST,RUBBISH,11209,BROOKLYN,10 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10463,BRONX,08 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,10035,NEW YORK,11 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,STAIRS,11217,BROOKLYN,02 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,11230,BROOKLYN,14 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11218,BROOKLYN,12 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10031,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,10030,NEW YORK,Unspecified MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11367,Flushing,08 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10030,NEW YORK,10 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,10027,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11235,BROOKLYN,15 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10035,NEW YORK,11 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10032,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10025,NEW YORK,07 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11691,Far Rockaway,14 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10019,NEW YORK,04 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PLUMBING,RADIATOR,10040,NEW YORK,Unspecified MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10459,BRONX,02 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10462,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10466,BRONX,12 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11237,BROOKLYN,04 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10304,STATEN ISLAND,01 STATEN ISLAND,STATEN ISLAND
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11213,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,10460,BRONX,03 BRONX,BRONX
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,10457,BRONX,06 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10455,BRONX,01 BRONX,BRONX
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,11102,Astoria,01 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10009,NEW YORK,03 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10032,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,11355,Flushing,07 QUEENS,QUEENS
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,10456,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,PAINT/PLASTER,WALL,10027,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MOLD,11212,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,NONCONST,VERMIN,11221,BROOKLYN,04 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,10027,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10468,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10467,BRONX,12 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10458,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS-RANGE,10469,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10463,BRONX,08 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10463,BRONX,08 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11427,Queens Village,13 QUEENS,QUEENS
Department of Housing Preservation and Development,NONCONST,VERMIN,11433,Jamaica,12 QUEENS,QUEENS
Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,11238,BROOKLYN,02 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10463,BRONX,08 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11220,BROOKLYN,07 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,10032,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10002,NEW YORK,03 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11216,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10032,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10457,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10031,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11106,Astoria,01 QUEENS,QUEENS
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,11105,Astoria,01 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11432,Jamaica,12 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11225,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,11203,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,ELECTRIC,BELL-BUZZER/INTERCOM,10031,NEW YORK,Unspecified MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,GENERAL,FLOOR,10040,NEW YORK,Unspecified MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11237,BROOKLYN,04 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10458,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,11374,Rego Park,06 QUEENS,QUEENS
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,10472,BRONX,09 BRONX,BRONX
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,10456,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11214,BROOKLYN,11 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MAIL-BOX,10459,BRONX,Unspecified BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11385,Ridgewood,05 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10462,BRONX,09 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10031,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PLUMBING,SEWER,11368,Corona,Unspecified QUEENS,QUEENS
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,10456,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11235,BROOKLYN,15 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10462,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10022,NEW YORK,06 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,NONCONST,RUBBISH,10459,BRONX,Unspecified BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11213,BROOKLYN,08 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10468,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10031,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,NONCONST,SMOKE-DETECTOR,11226,BROOKLYN,14 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10027,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10040,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10040,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11368,Corona,03 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10010,NEW YORK,06 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,ELECTRIC,BELL-BUZZER/INTERCOM,10030,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,10456,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10467,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11105,Astoria,01 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11355,Flushing,07 QUEENS,QUEENS
Department of Housing Preservation and Development,NONCONST,VERMIN,11374,Rego Park,06 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11691,Far Rockaway,14 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10463,BRONX,08 BRONX,BRONX
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,11229,BROOKLYN,15 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10463,BRONX,08 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11374,Rego Park,06 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10466,BRONX,12 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10473,BRONX,09 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10458,BRONX,06 BRONX,BRONX
Department of Housing Preservation and Development,NONCONST,VERMIN,10032,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,11233,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,11209,BROOKLYN,10 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11375,Forest Hills,06 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11223,BROOKLYN,15 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11418,Richmond Hill,09 QUEENS,QUEENS
Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,11377,WOODSIDE,Unspecified QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10467,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10463,BRONX,08 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11210,BROOKLYN,18 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,NONCONST,VERMIN,11238,BROOKLYN,02 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10451,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MOLD,10035,NEW YORK,11 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10009,NEW YORK,06 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10010,NEW YORK,06 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,11385,Ridgewood,05 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10460,BRONX,06 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11226,BROOKLYN,14 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MOLD,10457,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10456,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10456,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,PAINT/PLASTER,WALL,10027,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,10469,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11208,BROOKLYN,05 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10452,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,10027,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10010,NEW YORK,06 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,11238,BROOKLYN,02 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,10312,STATEN ISLAND,03 STATEN ISLAND,STATEN ISLAND
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,10031,NEW YORK,Unspecified MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11355,Flushing,07 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10463,BRONX,08 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,LOCKS,11233,BROOKLYN,16 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11213,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,11103,Astoria,01 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11375,Forest Hills,06 QUEENS,QUEENS
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,11221,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10462,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10462,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11226,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10457,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10463,BRONX,08 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11226,BROOKLYN,14 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10457,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11208,BROOKLYN,05 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10452,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11225,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11236,BROOKLYN,18 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10463,BRONX,08 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11225,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10456,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10458,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10458,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10451,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11225,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10016,NEW YORK,06 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,NONCONST,RUBBISH,11235,BROOKLYN,13 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11212,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10304,STATEN ISLAND,01 STATEN ISLAND,STATEN ISLAND
Department of Housing Preservation and Development,HEATING,HEAT,10466,BRONX,12 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10128,NEW YORK,08 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10017,NEW YORK,06 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11203,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10128,NEW YORK,08 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,11212,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11225,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10467,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11213,BROOKLYN,08 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11208,BROOKLYN,05 BROOKLYN,BROOKLYN
