Agency,Business Title,Civil Service Title,Level,Division/Work Unit
DEPARTMENT OF TRANSPORTATION,"Deputy Commissioner, Division of Bridges",ADMINISTRATIVE ENGINEER,M7,Bureau of Bridges Exec Hdqtr
DEPARTMENT OF TRANSPORTATION,"Deputy Commissioner, Division of Bridges",ADMINISTRATIVE ENGINEER,M7,Bureau of Bridges Exec Hdqtr
DEPT OF DESIGN & CONSTRUCTION,Program Director,ADMINISTRATIVE PROJECT MANAGER,M2,Pub Bldgs/Various
DEPT OF HEALTH/MENTAL HYGIENE,City Medical Specialist,CITY MEDICAL SPECIALIST (PART-,01,SH Medical
DEPT OF HEALTH/MENTAL HYGIENE,City Medical Specialist,CITY MEDICAL SPECIALIST (PART-,01,SH Medical
DEPT OF ENVIRONMENT PROTECTION,Deputy Director of Planning Projections and Demand Management,ASSOCIATE PROJECT MANAGER,01,Div of Wetld Cos Com Plan/L
DEPT OF ENVIRONMENT PROTECTION,Deputy Director of Planning Projections and Demand Management,ASSOCIATE PROJECT MANAGER,01,Div of Wetld Cos Com Plan/L
DEPT OF HEALTH/MENTAL HYGIENE,Chief of Microbiology Services,CITY RESEARCH SCIENTIST,4B,Microbiology
DEPT OF HEALTH/MENTAL HYGIENE,Chief of Microbiology Services,CITY RESEARCH SCIENTIST,4B,Microbiology
DEPT OF HEALTH/MENTAL HYGIENE,Assistant Director of School Health Vision,ADMINISTRATIVE STAFF ANALYST (,00,SH Vision
DEPT OF HEALTH/MENTAL HYGIENE,Lab  Microbiologist,LABORATORY MICROBIOLOGIST,01,STD Laboratory Services
DEPT OF HEALTH/MENTAL HYGIENE,Lab  Microbiologist,LABORATORY MICROBIOLOGIST,01,STD Laboratory Services
DEPT OF INFO TECH & TELECOMM,IP Telephony Design Engineer,COMPUTER SPECIALIST (SOFTWARE),04,IT Svcs Delivery
DEPT OF HEALTH/MENTAL HYGIENE,Assistant Director of School Health Vision,ADMINISTRATIVE STAFF ANALYST (,00,SH Vision
DEPT OF HEALTH/MENTAL HYGIENE,"Nurse Practitioner, Employees' Health Program",ADMINISTRATIVE PUBLIC HEALTH N,M1,Office of Quality Improvemen
DEPT OF HEALTH/MENTAL HYGIENE,"Nurse Practitioner, Employees' Health Program",ADMINISTRATIVE PUBLIC HEALTH N,M1,Office of Quality Improvemen
DEPT OF HEALTH/MENTAL HYGIENE,Deputy Director of Business Systems,HEALTH SERVICES MANAGER,M1,HIV/AIDS Administration
DEPT OF HEALTH/MENTAL HYGIENE,Deputy Director of Business Systems,HEALTH SERVICES MANAGER,M1,HIV/AIDS Administration
DEPT OF INFO TECH & TELECOMM,IP Telephony Design Engineer,COMPUTER SPECIALIST (SOFTWARE),04,IT Svcs Delivery
DEPT OF INFO TECH & TELECOMM,Internetworking Specialist (FJC ),COMPUTER SPECIALIST (SOFTWARE),01,IT Svcs Delivery
DEPT OF INFO TECH & TELECOMM,Internetworking Specialist (FJC ),COMPUTER SPECIALIST (SOFTWARE),01,IT Svcs Delivery
DEPT OF DESIGN & CONSTRUCTION,Program Director,ADMINISTRATIVE ENGINEER,M2,Pub Bldgs/Various
DEPT OF ENVIRONMENT PROTECTION,Director of Watershed Planning and Modeling,ADMINISTRATIVE PROJECT MANAGER,M2,Dept of Environment Protection
DEPT OF ENVIRONMENT PROTECTION,Director of Watershed Planning and Modeling,ADMINISTRATIVE PROJECT MANAGER,M2,Dept of Environment Protection
DEPT OF HEALTH/MENTAL HYGIENE,"Executive Director, Grants Management and Administration",HEALTH SERVICES MANAGER,M2,Grants Management & Admin
DEPT OF HEALTH/MENTAL HYGIENE,"Executive Director, Grants Management and Administration",HEALTH SERVICES MANAGER,M2,Grants Management & Admin
DEPT OF DESIGN & CONSTRUCTION,Program Director,ADMINISTRATIVE ENGINEER,M2,Pub Bldgs/Various
DEPT OF DESIGN & CONSTRUCTION,Program Director,ADMINISTRATIVE ARCHITECT,M2,Pub Bldgs/Various
DEPT OF DESIGN & CONSTRUCTION,Program Director,ADMINISTRATIVE ARCHITECT,M2,Pub Bldgs/Various
DEPT OF INFO TECH & TELECOMM,"Manager, IT Vendor Management",COMPUTER SYSTEMS MANAGER,M1,ECTP
DEPT OF INFO TECH & TELECOMM,"Manager, IT Vendor Management",COMPUTER SYSTEMS MANAGER,M1,ECTP
DEPARTMENT OF TRANSPORTATION,Marine Oiler,MARINE OILER(FERRY OPERATIONS),00,F&Ga Marine Oilers-St George
DEPARTMENT OF TRANSPORTATION,Marine Oiler,MARINE OILER(FERRY OPERATIONS),00,F&Ga Marine Oilers-St George
ADMIN TRIALS AND HEARINGS,Adjudications Support Aide,COMMUNITY SERVICE AIDE,00,Taxi Tribunal-Queens
ADMIN TRIALS AND HEARINGS,Adjudications Support Aide,COMMUNITY SERVICE AIDE,00,Taxi Tribunal-Queens
NYC HOUSING AUTHORITY,Project Manager,ADMINISTRATIVE INSPECTOR (HOUS,M2,Office Of Design
NYC HOUSING AUTHORITY,Project Manager,ADMINISTRATIVE INSPECTOR (HOUS,M2,Office Of Design
DEPT OF INFO TECH & TELECOMM,Desktop Support Engineer (FJC),COMPUTER SERVICE TECHNICIAN (C,01,IT Svcs Delivery
ADMIN TRIALS AND HEARINGS,Operations Unit Supervisor,PRINCIPAL ADMINISTRATIVE ASSOC,02,Taxi Tribunal-Queens
ADMIN TRIALS AND HEARINGS,Operations Unit Supervisor,PRINCIPAL ADMINISTRATIVE ASSOC,02,Taxi Tribunal-Queens
CONSUMER AFFAIRS,Inspector,INSPECTOR (CONSUMER AFFAIRS),01,Manhattan/SI Enforcement
NYC HOUSING AUTHORITY,Deputy Director for Construction Safety and Training,ADMINISTRATIVE INSPECTOR (HOUS,M3,CP Quality Assurance
DEPT OF ENVIRONMENT PROTECTION,Part Time Clerical Associate,CLERICAL ASSOCIATE,01,W   S/Connections Permitting
DEPT OF ENVIRONMENT PROTECTION,Part Time Clerical Associate,CLERICAL ASSOCIATE,01,W   S/Connections Permitting
DEPT OF INFO TECH & TELECOMM,Senior NetBackup Administrator,COMPUTER SPECIALIST (SOFTWARE),04,IT Svcs Delivery
DEPT OF INFO TECH & TELECOMM,Senior NetBackup Administrator,COMPUTER SPECIALIST (SOFTWARE),04,IT Svcs Delivery
FINANCIAL INFO SVCS AGENCY,SYSTEM ADMINISTRATOR,COMPUTER SPECIALIST (SOFTWARE),04,Shared System - Tech Service
HOUSING PRESERVATION & DVLPMNT,Investigator (Employee Discipline),INVESTIGATOR (EMPLOYEE DISCIPL,01,Inspector General
HOUSING PRESERVATION & DVLPMNT,Investigator (Employee Discipline),INVESTIGATOR (EMPLOYEE DISCIPL,01,Inspector General
CONSUMER AFFAIRS,"Director of OFE Field Research, Data, and Analytics",ADMINISTRATIVE STAFF ANALYST (,M4,OFC of Financial Empowerment
CONSUMER AFFAIRS,"Director of OFE Field Research, Data, and Analytics",ADMINISTRATIVE STAFF ANALYST (,M4,OFC of Financial Empowerment
DEPT OF HEALTH/MENTAL HYGIENE,Compliance Specialist,PRINCIPAL ADMINISTRATIVE ASSOC,01,HR Central
NYC HOUSING AUTHORITY,Construction Field Supervisor,CONSTRUCTION PROJECT MANAGER,03,Office Of Design
NYC HOUSING AUTHORITY,Construction Field Supervisor,CONSTRUCTION PROJECT MANAGER,03,Office Of Design
DEPT OF ENVIRONMENT PROTECTION,Quality Assurance Specialist (Automotive Equipment),QUALITY ASSURANCE SPECIALIST (,01,Motor Maintenance
DEPT OF ENVIRONMENT PROTECTION,Quality Assurance Specialist (Automotive Equipment),QUALITY ASSURANCE SPECIALIST (,01,Motor Maintenance
HRA/DEPT OF SOCIAL SERVICES,JAVA DEVELOPER,COMPUTER SYSTEMS MANAGER,M1,HHS-Integrated Financial Sys M
HRA/DEPT OF SOCIAL SERVICES,JAVA DEVELOPER,COMPUTER SYSTEMS MANAGER,M1,HHS-Integrated Financial Sys M
NYC HOUSING AUTHORITY,Vice President for Development,ADMINISTRATIVE HOUSING DEVELOP,M5,Department for Development
DEPT OF INFO TECH & TELECOMM,Automation Engineer for Provisioning and Patching,COMPUTER SPECIALIST (SOFTWARE),02,IT Svcs/IT Service Mgmt
DEPT OF INFO TECH & TELECOMM,Automation Engineer for Provisioning and Patching,COMPUTER SPECIALIST (SOFTWARE),02,IT Svcs/IT Service Mgmt
DEPT OF ENVIRONMENT PROTECTION,Construction Project Manager Intern,CONSTRUCTION PROJECT MANAGER I,00,Central Brookly City Operation
DEPT OF ENVIRONMENT PROTECTION,Construction Project Manager Intern,CONSTRUCTION PROJECT MANAGER I,00,Central Brookly City Operation
FINANCIAL INFO SVCS AGENCY,SYSTEM ADMINISTRATOR,COMPUTER SPECIALIST (SOFTWARE),04,Shared System - Tech Service
DEPT OF INFO TECH & TELECOMM,Agency Relations Manager,ADMINISTRATIVE STAFF ANALYST (,00,Commissioner'S Office
DEPT OF INFO TECH & TELECOMM,Agency Relations Manager,ADMINISTRATIVE STAFF ANALYST (,00,Commissioner'S Office
CONSUMER AFFAIRS,Deputy Director of Quality Assurance,COMMUNITY COORDINATOR,00,Commissioner'S Office
CONSUMER AFFAIRS,Deputy Director of Quality Assurance,COMMUNITY COORDINATOR,00,Commissioner'S Office
DEPT OF HEALTH/MENTAL HYGIENE,"Director of Technical Assistance, HIV Prevention",CITY RESEARCH SCIENTIST,03,HIV/AIDS Prevention
DEPT OF HEALTH/MENTAL HYGIENE,"Director of Technical Assistance, HIV Prevention",CITY RESEARCH SCIENTIST,03,HIV/AIDS Prevention
ADMIN FOR CHILDREN'S SVCS,Project Manager,COMPUTER SPECIALIST (SOFTWARE),02,Mgmt Information Sys Operation
ADMIN FOR CHILDREN'S SVCS,Project Manager,COMPUTER SPECIALIST (SOFTWARE),02,Mgmt Information Sys Operation
DEPT OF INFO TECH & TELECOMM,Functional Tester,COMPUTER SPECIALIST (SOFTWARE),03,Enterprise APP Services
DEPT OF INFO TECH & TELECOMM,Functional Tester,COMPUTER SPECIALIST (SOFTWARE),03,Enterprise APP Services
DEPARTMENT OF BUILDINGS,"Director, Build It Back",ADMINISTRATIVE ARCHITECT,M1,Citywide
DEPARTMENT OF BUILDINGS,Inspector,INSPECTOR (HOISTS AND RIGGING),00,Cranes & Derricks
DEPARTMENT OF BUILDINGS,Inspector,INSPECTOR (HOISTS AND RIGGING),00,Cranes & Derricks
DEPT OF HEALTH/MENTAL HYGIENE,"Data Analyst, Primary care Information Project",CITY RESEARCH SCIENTIST,01,Primary Care Info Project
DEPARTMENT OF BUILDINGS,"Director, Build It Back",ADMINISTRATIVE ARCHITECT,M1,Citywide
DEPARTMENT OF BUILDINGS,"Director, Build It Back",ADMINISTRATIVE ENGINEER,M1,Citywide
DEPARTMENT OF BUILDINGS,"Director, Build It Back",ADMINISTRATIVE ENGINEER,M1,Citywide
DEPT OF HEALTH/MENTAL HYGIENE,"Data Analyst, Primary care Information Project",CITY RESEARCH SCIENTIST,01,Primary Care Info Project
DEPT OF HEALTH/MENTAL HYGIENE,Deputy Director of Identification,CRIMINALIST,03,OCME-Operations
DEPT OF HEALTH/MENTAL HYGIENE,Deputy Director of Identification,CRIMINALIST,03,OCME-Operations
DEPARTMENT OF BUILDINGS,Build It Back Plan Examiner,PLAN EXAMINER (BLDGS),00,Citywide
DEPARTMENT OF BUILDINGS,Build It Back Plan Examiner,PLAN EXAMINER (BLDGS),00,Citywide
DEPT OF INFO TECH & TELECOMM,Analytics Support Specialist,COMPUTER SPECIALIST (SOFTWARE),03,Enterprise APP Services
DEPT OF INFO TECH & TELECOMM,Analytics Support Specialist,COMPUTER SPECIALIST (SOFTWARE),03,Enterprise APP Services
DEPT OF INFO TECH & TELECOMM,Systems Administrator,COMPUTER SPECIALIST (SOFTWARE),04,Enterprise APP Services
DEPT OF INFO TECH & TELECOMM,Systems Administrator,COMPUTER SPECIALIST (SOFTWARE),04,Enterprise APP Services
DEPT OF HEALTH/MENTAL HYGIENE,"Environmental Health Scientist, Bureau of Environmental Disease Prevention",CITY RESEARCH SCIENTIST,02,Environ. Emerg. Info. Systems
DEPT OF HEALTH/MENTAL HYGIENE,"Environmental Health Scientist, Bureau of Environmental Disease Prevention",CITY RESEARCH SCIENTIST,02,Environ. Emerg. Info. Systems
CONSUMER AFFAIRS,Executive Director,ADMINISTRATIVE STAFF ANALYST (,M4,Research & Investigation Unit
DEPT OF INFO TECH & TELECOMM,Analytics Developer,COMPUTER SPECIALIST (SOFTWARE),04,Enterprise APP Services
DEPT OF INFO TECH & TELECOMM,Analytics Developer,COMPUTER SPECIALIST (SOFTWARE),04,Enterprise APP Services
DEPT OF HEALTH/MENTAL HYGIENE,"Director of Medical Informatics, Surveillance & Epidemiology",CITY RESEARCH SCIENTIST,4A,CHS Medical
DEPT OF HEALTH/MENTAL HYGIENE,"Director of Medical Informatics, Surveillance & Epidemiology",CITY RESEARCH SCIENTIST,4A,CHS Medical
CONSUMER AFFAIRS,Executive Director,ADMINISTRATIVE STAFF ANALYST (,M4,Research & Investigation Unit
CONSUMER AFFAIRS,Deputy Director of Intake and Investigations,ADMINISTRATIVE STAFF ANALYST (,00,Research & Investigation Unit
CONSUMER AFFAIRS,Deputy Director of Intake and Investigations,ADMINISTRATIVE STAFF ANALYST (,00,Research & Investigation Unit
ADMIN TRIALS AND HEARINGS,Customer Service Representative,COMMUNITY ASSISTANT,00,ECB - Brooklyn Office
ADMIN TRIALS AND HEARINGS,Customer Service Representative,COMMUNITY ASSISTANT,00,ECB - Brooklyn Office
DEPT OF ENVIRONMENT PROTECTION,EH&S Coordinator,ASSOCIATE PROJECT MANAGER,01,Sandy Housing Rehab
DEPT OF ENVIRONMENT PROTECTION,EH&S Coordinator,ASSOCIATE PROJECT MANAGER,01,Sandy Housing Rehab
DEPT OF HEALTH/MENTAL HYGIENE,Farmers Market Outreach Coordinator,NUTRITIONIST,01,Chronic Disease Prevention
DEPT OF HEALTH/MENTAL HYGIENE,Farmers Market Outreach Coordinator,NUTRITIONIST,01,Chronic Disease Prevention
CONSUMER AFFAIRS,Investigator,COMMUNITY COORDINATOR,00,Research & Investigation Unit
CONSUMER AFFAIRS,Investigator,COMMUNITY COORDINATOR,00,Research & Investigation Unit
CONSUMER AFFAIRS,Senior Agency Attorney,AGENCY ATTORNEY,03,Research & Investigation Unit
CONSUMER AFFAIRS,Senior Agency Attorney,AGENCY ATTORNEY,03,Research & Investigation Unit
DEPT OF HEALTH/MENTAL HYGIENE,Director of Programs and Operations,HEALTH SERVICES MANAGER,M3,"Children, Youth, & Families"
DEPT OF HEALTH/MENTAL HYGIENE,Director of Programs and Operations,HEALTH SERVICES MANAGER,M3,"Children, Youth, & Families"
DEPT OF HEALTH/MENTAL HYGIENE,Contract Manager,AGENCY ATTORNEY,01,Acco/Contracts
DEPT OF HEALTH/MENTAL HYGIENE,Contract Manager,AGENCY ATTORNEY,01,Acco/Contracts
CONSUMER AFFAIRS,Agency Attorney,AGENCY ATTORNEY,02,Research & Investigation Unit
CONSUMER AFFAIRS,Agency Attorney,AGENCY ATTORNEY,02,Research & Investigation Unit
CONSUMER AFFAIRS,Mediator,COMMUNITY COORDINATOR,00,Research & Investigation Unit
CONSUMER AFFAIRS,Mediator,COMMUNITY COORDINATOR,00,Research & Investigation Unit
CONSUMER AFFAIRS,Financial Auditor/ Investigator,ADMINISTRATIVE STAFF ANALYST (,M1,Research & Investigation Unit
DEPT OF ENVIRONMENT PROTECTION,"Deputy Director, Customer Service",ADMINISTRATIVE STAFF ANALYST (,00,Sandy Housing Rehab
DEPT OF ENVIRONMENT PROTECTION,"Deputy Director, Customer Service",ADMINISTRATIVE STAFF ANALYST (,00,Sandy Housing Rehab
DEPT OF ENVIRONMENT PROTECTION,Implementation Specialist,ASSOCIATE PROJECT MANAGER,02,Sandy HRO Administration
DEPT OF ENVIRONMENT PROTECTION,Implementation Specialist,ASSOCIATE PROJECT MANAGER,02,Sandy HRO Administration
CONSUMER AFFAIRS,Financial Auditor/ Investigator,ADMINISTRATIVE STAFF ANALYST (,M1,Research & Investigation Unit
CONSUMER AFFAIRS,Community Support Associate,COMMUNITY ASSOCIATE,00,Research & Investigation Unit
CONSUMER AFFAIRS,Community Support Associate,COMMUNITY ASSOCIATE,00,Research & Investigation Unit
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Inspector, Food Safety and Community Sanitation",PUBLIC HEALTH SANITARIAN,01,Food Safety & Community Sanit
DEPT OF ENVIRONMENT PROTECTION,Financial Analyst,ADMINISTRATIVE STAFF ANALYST (,00,Sandy HRO Administration
DEPT OF ENVIRONMENT PROTECTION,Financial Analyst,ADMINISTRATIVE STAFF ANALYST (,00,Sandy HRO Administration
DEPT OF ENVIRONMENT PROTECTION,Reporting Analyst,ADMINISTRATIVE STAFF ANALYST (,00,Sandy HRO Administration
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Inspector, Food Safety and Community Sanitation",PUBLIC HEALTH SANITARIAN,01,Food Safety & Community Sanit
DEPARTMENT OF BUSINESS SERV.,Procurement Officer,CONTRACT REVIEWER (OFFICE OF L,01,Procurement
DEPARTMENT OF BUSINESS SERV.,Procurement Officer,CONTRACT REVIEWER (OFFICE OF L,01,Procurement
NYC HOUSING AUTHORITY,Payments Administrator,ADMINISTRATIVE STAFF ANALYST (,M1,Capital Projects Admin
NYC HOUSING AUTHORITY,Payments Administrator,ADMINISTRATIVE STAFF ANALYST (,M1,Capital Projects Admin
DEPARTMENT OF BUILDINGS,Electrical Advisory Board Plan Examiner,ELECTRICAL ENGINEER,01,Development Inspections
DEPT OF ENVIRONMENT PROTECTION,Reporting Analyst,ADMINISTRATIVE STAFF ANALYST (,00,Sandy HRO Administration
DEPT OF DESIGN & CONSTRUCTION,"Deputy Director, Topographic Services",ADMINISTRATIVE PROJECT MANAGER,M1,Safety&Site Supp/Site Eng
DEPT OF DESIGN & CONSTRUCTION,"Deputy Director, Topographic Services",ADMINISTRATIVE PROJECT MANAGER,M1,Safety&Site Supp/Site Eng
DEPT OF ENVIRONMENT PROTECTION,Internal Auditor,ADMINISTRATIVE STAFF ANALYST (,00,Sandy HRO Administration
DEPT OF HEALTH/MENTAL HYGIENE,Environmental Project Coordinator,CITY RESEARCH SCIENTIST,03,Environ. Emerg. Info. Systems
DEPT OF HEALTH/MENTAL HYGIENE,Environmental Project Coordinator,CITY RESEARCH SCIENTIST,03,Environ. Emerg. Info. Systems
LAW DEPARTMENT,Assistant Corporation Counsel,ASSISTANT CORPORATION COUNSEL,00,Comm Lit
LAW DEPARTMENT,Assistant Corporation Counsel,ASSISTANT CORPORATION COUNSEL,00,Comm Lit
ADMIN FOR CHILDREN'S SVCS,Associate Commissioner for Financial Services,ADMINISTRATIVE STAFF ANALYST (,M5,Dpty Comm Fnancl Svcs-Finance
DEPT OF ENVIRONMENT PROTECTION,Internal Auditor,ADMINISTRATIVE STAFF ANALYST (,00,Sandy HRO Administration
DEPT OF ENVIRONMENT PROTECTION,Project Manager Intern,PROJECT MANAGER INTERN#,00,WSO-Executive Div/Project Mgmt
DEPT OF ENVIRONMENT PROTECTION,Project Manager Intern,PROJECT MANAGER INTERN#,00,WSO-Executive Div/Project Mgmt
DEPT OF INFO TECH & TELECOMM,Internetworking Provisioning Specialist,COMPUTER SPECIALIST (SOFTWARE),04,IT Svcs Delivery
ADMIN FOR CHILDREN'S SVCS,Associate Commissioner for Financial Services,ADMINISTRATIVE STAFF ANALYST (,M5,Dpty Comm Fnancl Svcs-Finance
DEPT OF HEALTH/MENTAL HYGIENE,"Emergency Planner, Office of Emergency Preparedness and Response",ADMINISTRATIVE STAFF ANALYST (,00,Emergency Preparedness
DEPT OF HEALTH/MENTAL HYGIENE,"Emergency Planner, Office of Emergency Preparedness and Response",ADMINISTRATIVE STAFF ANALYST (,00,Emergency Preparedness
LAW DEPARTMENT,Assistant Corporation Counsel,ASSISTANT CORPORATION COUNSEL,00,Comm Lit
LAW DEPARTMENT,Assistant Corporation Counsel,ASSISTANT CORPORATION COUNSEL,00,Comm Lit
DEPT OF INFO TECH & TELECOMM,Internetworking Provisioning Specialist,COMPUTER SPECIALIST (SOFTWARE),04,IT Svcs Delivery
DEPT OF INFO TECH & TELECOMM,Internetworking Specialist,COMPUTER SPECIALIST (SOFTWARE),02,IT Svcs Delivery
DEPT OF INFO TECH & TELECOMM,Internetworking Specialist,COMPUTER SPECIALIST (SOFTWARE),02,IT Svcs Delivery
CONSUMER AFFAIRS,Agency Attorney,AGENCY ATTORNEY,02,Legal Compliance & Fitness Div
DEPT OF ENVIRONMENT PROTECTION,DIRECTOR OF CLIENT SERVICES,COMPUTER SYSTEMS MANAGER,M2,OIT/WT
DEPT OF ENVIRONMENT PROTECTION,DIRECTOR OF CLIENT SERVICES,COMPUTER SYSTEMS MANAGER,M2,OIT/WT
DEPT OF HEALTH/MENTAL HYGIENE,"Panel Maintenance Analyst, World Trade Center Health Registry",CITY RESEARCH SCIENTIST,01,World Trde Centr Hlth Registry
DEPT OF HEALTH/MENTAL HYGIENE,"Panel Maintenance Analyst, World Trade Center Health Registry",CITY RESEARCH SCIENTIST,01,World Trde Centr Hlth Registry
CONSUMER AFFAIRS,Agency Attorney,AGENCY ATTORNEY,02,Legal Compliance & Fitness Div
DEPT OF HEALTH/MENTAL HYGIENE,Senior Industrial Hygienist,CITY RESEARCH SCIENTIST,4A,Emerg. Preparedness & Response
DEPT OF HEALTH/MENTAL HYGIENE,Senior Industrial Hygienist,CITY RESEARCH SCIENTIST,4A,Emerg. Preparedness & Response
DEPT OF ENVIRONMENT PROTECTION,Supervisor (W&S Systems),SUPERVISOR (WATER & SEWER SYST,00,Water Sup/Man Ctl Yd City Op
DEPT OF HEALTH/MENTAL HYGIENE,"MWBE Officer and P-Card Administrator,Office of the Agency Chief Contracting Officer",ADMINISTRATIVE STAFF ANALYST (,00,Acco/Contracts
DEPT OF HEALTH/MENTAL HYGIENE,"MWBE Officer and P-Card Administrator,Office of the Agency Chief Contracting Officer",ADMINISTRATIVE STAFF ANALYST (,00,Acco/Contracts
FIRE DEPARTMENT,Compliance Officer,ADMINISTRATIVE STAFF ANALYST (,M4,Commissioners' Offices
FIRE DEPARTMENT,Compliance Officer,ADMINISTRATIVE STAFF ANALYST (,M4,Commissioners' Offices
DEPT OF ENVIRONMENT PROTECTION,Supervisor (W&S Systems),SUPERVISOR (WATER & SEWER SYST,00,Water Sup/Man Ctl Yd City Op
DEPARTMENT OF PROBATION,Probation Assistant,PROBATION ASSISTANT,00,Operations
DEPARTMENT OF PROBATION,Probation Assistant,PROBATION ASSISTANT,00,Operations
DEPT OF DESIGN & CONSTRUCTION,Project Manager/Sr. Project Manager,ASSOCIATE PROJECT MANAGER,02,Pub Bldgs/Various
DEPT OF DESIGN & CONSTRUCTION,Project Manager/Sr. Project Manager,ASSOCIATE PROJECT MANAGER,02,Pub Bldgs/Various
NYC HOUSING AUTHORITY,ROSS Service Coordinator,COMMUNITY COORDINATOR,00,REES
NYC HOUSING AUTHORITY,ROSS Service Coordinator,COMMUNITY COORDINATOR,00,REES
DEPT OF HEALTH/MENTAL HYGIENE,"Laboratory Microbiologist, Bureau of Public Health Laboratory",LABORATORY MICROBIOLOGIST,02,PHL Technical Affairs
NYC EMPLOYEES RETIREMENT SYS,"Customer Information Reprentative, Level 1",CUSTOMER INFORMATION REP,01,Executive Management
NYC EMPLOYEES RETIREMENT SYS,"Customer Information Reprentative, Level 1",CUSTOMER INFORMATION REP,01,Executive Management
NYC HOUSING AUTHORITY,Chief Communications Officer,ADMINISTRATIVE PUBLIC INFORMAT,M5,Department of Communications
NYC HOUSING AUTHORITY,Chief Communications Officer,ADMINISTRATIVE PUBLIC INFORMAT,M5,Department of Communications
DEPT OF HEALTH/MENTAL HYGIENE,"Vulnerable Populations Coordinator, Emergency Preparedness and Response",HEALTH SERVICES MANAGER,M1,"Policy, Resilience & Response"
DEPT OF ENVIRONMENT PROTECTION,"Director, Environmental Health and Safety",ADMINISTRATIVE PUBLIC HEALTH S,M3,Water Supply/Mgmt Support
DEPT OF ENVIRONMENT PROTECTION,"Director, Environmental Health and Safety",ADMINISTRATIVE PUBLIC HEALTH S,M3,Water Supply/Mgmt Support
DEPT OF INFO TECH & TELECOMM,Director of Capital Budget,ADMINISTRATIVE STAFF ANALYST (,00,Financial Services
DEPT OF HEALTH/MENTAL HYGIENE,"Vulnerable Populations Coordinator, Emergency Preparedness and Response",HEALTH SERVICES MANAGER,M1,"Policy, Resilience & Response"
DEPT OF ENVIRONMENT PROTECTION,STRATEGIC SOURCING TEAM CATEGORY MANAGER,ADMINISTRATIVE PROCUREMENT ANA,00,Administration/Procurement
DEPT OF ENVIRONMENT PROTECTION,STRATEGIC SOURCING TEAM CATEGORY MANAGER,ADMINISTRATIVE PROCUREMENT ANA,00,Administration/Procurement
DEPT OF ENVIRONMENT PROTECTION,Staff Analyst Trainee,STAFF ANALYST TRAINEE,00,Water Supply/Administration
DEPT OF ENVIRONMENT PROTECTION,Staff Analyst Trainee,STAFF ANALYST TRAINEE,00,Water Supply/Administration
NYC HOUSING AUTHORITY,Vice President for Development,ADMINISTRATIVE HOUSING DEVELOP,M5,Department for Development
NYC HOUSING AUTHORITY,Director of Emergency Preparedness,ADMINISTRATIVE STAFF ANALYST (,M4,Office of the General Manager
NYC HOUSING AUTHORITY,Director of Emergency Preparedness,ADMINISTRATIVE STAFF ANALYST (,M4,Office of the General Manager
NYC HOUSING AUTHORITY,Director of Enterprise Program Management Office,ADMINISTRATIVE STAFF ANALYST (,M4,Enterprise Program Mgmt Office
DEPT OF HEALTH/MENTAL HYGIENE,Assistant Commissioner for Finance,ADMINISTRATIVE STAFF ANALYST (,M4,OCME-Admin
DEPT OF HEALTH/MENTAL HYGIENE,Assistant Commissioner for Finance,ADMINISTRATIVE STAFF ANALYST (,M4,OCME-Admin
